isolate_id,cohort,coverage,run,mlst_scheme,mlst_st,consensus_st_S1,concordant_with_S1,data_source,mlst_alleles,assembly_path
3989,carbapenemase-producing,10x,,cfreundii,22,22,yes,ASSUMED - no mlst output supplied,,
4704,carbapenemase-producing,10x,FAY64384_barcode1218,cfreundii,-,,,mlst output,aspC(10);clpX(~51);fadD(14);mdh(15);arcA(5);dnaG(11);lysP(11),polished_fasta_10x/isolate_4704_FAY64384_barcode1218_10x.fasta
4838,carbapenemase-producing,10x,FAY34264_barcode01,klebsiella,147,147,yes,mlst output,gapA(3);infB(4);mdh(6);pgi(1);phoE(7);rpoB(4);tonB(38),polished_fasta_10x/isolate_4838_FAY34264_barcode01_10x.fasta
4920,carbapenemase-producing,10x,FAYFAX,klebsiella,-,,,mlst output,gapA(10);infB(7);mdh(1);pgi(1);phoE(1);rpoB(67);tonB(~35),polished_fasta_10x/isolate_4920_FAYFAX_10x.fasta
5043,carbapenemase-producing,10x,FAY34264_barcode03,-,-,,,mlst output,,polished_fasta_10x/isolate_5043_FAY34264_barcode03_10x.fasta
5244,carbapenemase-producing,10x,FAYFAY,klebsiella,17,17,yes,mlst output,gapA(2);infB(1);mdh(1);pgi(1);phoE(4);rpoB(4);tonB(4),polished_fasta_10x/isolate_5244_FAYFAY_10x.fasta
5305,carbapenemase-producing,10x,FAY24367_barcode0612,-,-,,,mlst output,,polished_fasta_10x/isolate_5305_FAY24367_barcode0612_10x.fasta
5371,carbapenem-non-susceptible,10x,FAZ49665_barcode0102,ecloacae,113,113,yes,mlst output,dnaA(4);fusA(22);gyrB(68);leuS(69);pyrG(37);rplB(4);rpoB(24),polished_fasta_10x/isolate_5371_FAZ49665_barcode0102_10x.fasta
5399,carbapenemase-producing,10x,FAYFAY,ecoli_achtman_4,-,,,mlst output,adk(10);fumC(11);gyrB(4);icd(8);mdh(92);purA(~8);recA(2),polished_fasta_10x/isolate_5399_FAYFAY_10x.fasta
5425,carbapenem-non-susceptible,10x,FAZ49665_barcode0304,cfreundii,118,118,yes,mlst output,aspC(64);clpX(63);fadD(33);mdh(6);arcA(5);dnaG(22);lysP(14),polished_fasta_10x/isolate_5425_FAZ49665_barcode0304_10x.fasta
5590,carbapenemase-producing,10x,FAX65952_barcode1622,ecloacae,78,78,yes,mlst output,dnaA(8);fusA(9);gyrB(6);leuS(9);pyrG(9);rplB(6);rpoB(8),polished_fasta_10x/isolate_5590_FAX65952_barcode1622_10x.fasta
5607,carbapenem-non-susceptible,10x,FAZ49665_barcode0708,ecloacae,13,13,yes,mlst output,dnaA(13);fusA(2);gyrB(45);leuS(27);pyrG(56);rplB(2);rpoB(14),polished_fasta_10x/isolate_5607_FAZ49665_barcode0708_10x.fasta
5668,carbapenem-non-susceptible,10x,FAYFAY,cfreundii,19,19,yes,mlst output,aspC(11);clpX(12);fadD(14);mdh(6);arcA(5);dnaG(9);lysP(11),polished_fasta_10x/isolate_5668_FAYFAY_10x.fasta
5860,carbapenemase-producing,10x,PAU61707_barcode0102,klebsiella,11,11,yes,mlst output,gapA(3);infB(3);mdh(1);pgi(1);phoE(1);rpoB(1);tonB(4),polished_fasta_10x/isolate_5860_PAU61707_barcode0102_10x.fasta
5861,carbapenem-non-susceptible,10x,FAZPAY,kaerogenes,93,93,yes,mlst output,dnaA(3);fusA(3);gyrB(2);leuS(18);pryG(3);rplB(1);rpoB(10),polished_fasta_10x/isolate_5861_FAZPAY_10x.fasta
5871,carbapenemase-producing,10x,PAU61707_barcode0304,klebsiella,-,,,mlst output,gapA(16);infB(18);mdh(21);pgi(53);phoE(47);rpoB(17);tonB(67),polished_fasta_10x/isolate_5871_PAU61707_barcode0304_10x.fasta
5969,carbapenemase-producing,10x,PAU61707_barcode0506,cfreundii,22,,,mlst output,aspC(15);clpX(12);fadD(20);mdh(15);arcA(5);dnaG(11);lysP(17),polished_fasta_10x/isolate_5969_PAU61707_barcode0506_10x.fasta
5970,carbapenemase-producing,10x,FBDPAU,cfreundii,-,136,no,mlst output,aspC(10);clpX(~71);fadD(62);mdh(15);arcA(5);dnaG(9);lysP(50),polished_fasta_10x/isolate_5970_FBDPAU_10x.fasta
5976,carbapenemase-producing,10x,PAU61707_barcode0910,ecloacae,45,45,yes,mlst output,dnaA(4);fusA(4);gyrB(14);leuS(6);pyrG(39);rplB(4);rpoB(6),polished_fasta_10x/isolate_5976_PAU61707_barcode0910_10x.fasta
6009,carbapenemase-producing,10x,PAU61707_barcode1112,ecoli_achtman_4,131,131,yes,mlst output,adk(53);fumC(40);gyrB(47);icd(13);mdh(36);purA(28);recA(29),polished_fasta_10x/isolate_6009_PAU61707_barcode1112_10x.fasta
6014,carbapenemase-producing,10x,PAU61707_barcode1314,klebsiella,147,147,yes,mlst output,gapA(3);infB(4);mdh(6);pgi(1);phoE(7);rpoB(4);tonB(38),polished_fasta_10x/isolate_6014_PAU61707_barcode1314_10x.fasta
6035,carbapenemase-producing,10x,PAU61707_barcode1516,klebsiella,307,307,yes,mlst output,gapA(4);infB(1);mdh(2);pgi(52);phoE(1);rpoB(1);tonB(7),polished_fasta_10x/isolate_6035_PAU61707_barcode1516_10x.fasta
6036,carbapenem-non-susceptible,10x,PAU61707_barcode4950,ecloacae,94,94,yes,mlst output,dnaA(55);fusA(36);gyrB(56);leuS(59);pyrG(60);rplB(4);rpoB(6),polished_fasta_10x/isolate_6036_PAU61707_barcode4950_10x.fasta
6056,carbapenemase-producing,10x,PAU61707_barcode1718,-,-,,,mlst output,,polished_fasta_10x/isolate_6056_PAU61707_barcode1718_10x.fasta
6057,carbapenemase-producing,10x,PAU61707_barcode1920,ecoli_achtman_4,-,648,no,mlst output,adk(92);fumC(4);gyrB(87?);icd(96);mdh(70);purA(58);recA(2),polished_fasta_10x/isolate_6057_PAU61707_barcode1920_10x.fasta
6067,carbapenemase-producing,10x,PAUPAY,koxytoca,-,44,no,mlst output,gapA(3);infB(14?);mdh(22);pgi(21);phoE(25);rpoB(17);tonB(21),polished_fasta_10x/isolate_6067_PAUPAY_10x.fasta
6068,carbapenemase-producing,10x,PAU61707_barcode2324,ecoli_achtman_4,744,744,yes,mlst output,adk(10);fumC(11);gyrB(135);icd(8);mdh(8);purA(8);recA(2),polished_fasta_10x/isolate_6068_PAU61707_barcode2324_10x.fasta
6233,carbapenemase-producing,10x,FAY24367_barcode0410,ecoli_achtman_4,-,2524,no,mlst output,adk(10);fumC(7);gyrB(~1);icd(8);mdh(8);purA(8);recA(2),polished_fasta_10x/isolate_6233_FAY24367_barcode0410_10x.fasta
6243,carbapenemase-producing,10x,FAY24367_barcode0107,klebsiella,-,,,mlst output,gapA(16);infB(18);mdh(21);pgi(53);phoE(47);rpoB(17);tonB(67),polished_fasta_10x/isolate_6243_FAY24367_barcode0107_10x.fasta
6244,carbapenemase-producing,10x,PAU61707_barcode2526,klebsiella,231,231,yes,mlst output,gapA(2);infB(6);mdh(1);pgi(3);phoE(26);rpoB(1);tonB(77),polished_fasta_10x/isolate_6244_PAU61707_barcode2526_10x.fasta
6247,carbapenemase-producing,10x,PAU61707_barcode2728,ecoli_achtman_4,44,44,yes,mlst output,adk(10);fumC(11);gyrB(4);icd(8);mdh(8);purA(8);recA(7),polished_fasta_10x/isolate_6247_PAU61707_barcode2728_10x.fasta
6287,carbapenemase-producing,10x,PAU61707_barcode2930,klebsiella,3506,3506,yes,mlst output,gapA(18);infB(22);mdh(56);pgi(61);phoE(234);rpoB(20);tonB(169),polished_fasta_10x/isolate_6287_PAU61707_barcode2930_10x.fasta
